,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,発走,場所,レース名,ラウンド数,コース,天候,地面,日付
1,1:50.0,35.7,8,,40.8,,牡2,54,8,8,2,[西]石坂正,,280.0,1-1-1-1,吉澤克己,462(0),プラネットアース,16,松若風馬,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
2,1:50.1,35.5,2,,3.7,,牡2,54,3,3/4,3,[西]池江泰寿,,180.0,4-4-5-6,サトミホースカンパニー,448(0),サトノバリオス,5,Ｍ．デム,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
3,1:50.2,35.6,7,,39.3,,牡2,53,3,1/2,4,[西]西園正都,,110.0,2-3-5-3,ウイン,440(0),ウインアライバル,6,荻野極,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
4,1:50.2,35.7,13,,206.3,,牡2,54,6,クビ,5,[西]渡辺薫彦,,70.0,8-9-3-3,カナヤマホールディングス,502(0),リヴィエラ,11,幸英明,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
5,1:50.3,35.2,4,,18.1,,牝2,54,7,3/4,6,[西]高野友和,,,14-16-11-14,サンデーレーシング,502(0),キラープレゼンス,14,北村友一,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
6,1:50.4,35.2,11,,120.5,,牡2,54,7,1/2,7,[西]服部利之,,,16-14-13-10,熊田義孝,430(0),ジョウショームード,13,秋山真一,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
7,1:50.6,35.7,16,,473.2,,牝2,54,1,1.1/4,8,[西]服部利之,,,8-7-9-7,中島稔,418(0),アイファーキャノン,2,藤懸貴志,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
8,1:50.6,35.9,9,,53.3,,牝2,54,6,クビ,9,[西]高橋義忠,,,6-7-7-9,中村祐子,492(0),ベイコート,12,池添謙一,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
9,1:50.8,35.9,10,,61.5,,牡2,54,4,1.1/4,10,[西]五十嵐忠,,,6-6-9-7,サラブレッドクラブ・ラフィアン,432(0),マイネルロッシュ,8,国分優作,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
10,1:50.8,35.6,5,,26.1,,牝2,54,1,クビ,11,[西]西村真幸,,,11-9-13-10,藤田好紀,468(0),ユンゲンハフト,1,アヴドゥ,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
11,1:50.9,36.1,3,,6.2,,牡2,54,5,クビ,12,[西]須貝尚介,,,13-12-7-10,社台レースホース,492(0),イニティウム,10,武豊,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
12,1:51.2,36.8,12,,205.9,,牝2,54,4,2,13,[西]千田輝彦,,,3-2-2-3,八木良司,460(0),タガノカルーア,7,蛯名正義,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
13,1:51.7,36.7,14,,223.6,,牡2,54,2,3,14,[西]千田輝彦,,,10-9-11-13,カナヤマホールディングス,466(0),ミラーグロ,4,和田竜二,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
14,1:52.1,36.8,6,,27.7,,牡2,54,5,2.1/2,15,[西]西村真幸,,,11-12-13-16,田中成奉,458(0),タイセイモナーク,9,松山弘平,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
15,1:52.2,36.8,15,,405.4,,牡2,54,2,1/2,16,[西]藤沢則雄,,,14-14-16-14,ブルアンドベア,482(0),ブルベアコローレ,3,川須栄彦,**,12,小倉,2歳新馬,5R,芝右1800m ,晴 ,良 ,2018-08-05
0,1:59.1,33.2,1,,1.5,,牡3,54,4,,1,[西]角居勝彦,,750.0,11-11-10-11,石川達絵,490(+8),キセキ,4,福永祐一,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
1,1:59.4,34.6,7,,32.7,,セ5,56,4,2,2,[西]橋田満,,300.0,2-2-2-2,永井啓弍,416(+2),スズカディープ,5,岩崎翼,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
2,1:59.5,34.2,3,,8.2,,牡7,57,7,3/4,3,[西]西村真幸,,190.0,9-9-6-5,キャロットファーム,498(-2),コメットシーカー,11,川田将雅,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
3,1:59.7,34.5,2,,5.7,,牡3,54,3,1.1/4,4,[西]中尾秀正,,110.0,5-5-5-5,社台レースホース,460(+2),ジャーミネイト,3,和田竜二,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
4,1:59.8,34.9,9,,65.2,,牡5,54,5,1/2,5,[西]山内研二,,75.0,5-5-3-2,横瀬兼二,506(0),ラウレアブルーム,6,森裕太朗,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
5,2:00.1,35.0,4,,9.4,,牡3,54,7,2,6,[西]笹田和秀,,,3-3-3-4,社台レースホース,444(-2),エリンソード,10,Ｍ．デム,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
6,2:00.2,34.5,5,,10.9,,牡3,54,8,1/2,7,[西]石坂正,,,7-7-8-9,小林昌志,458(-12),シャイニーゲール,12,松若風馬,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
7,2:00.2,34.3,6,,28.9,,牡3,54,1,ハナ,8,[西]北出成人,,,13-12-12-11,吉岡實,466(-14),エテレインミノル,1,幸英明,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
8,2:00.2,34.5,10,,129.6,,牡3,51,6,クビ,9,[西]坂口正則,,,9-10-10-9,森中蕃,450(+2),シゲルボブキャット,8,富田暁,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
9,2:00.4,36.1,8,,52.3,,牡5,55,2,1.1/4,10,[西]千田輝彦,,,1-1-1-1,河野和香子,502(0),スターペスカンタ,2,荻野極,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
10,2:01.0,35.5,12,,260.0,,牡4,54,8,3.1/2,11,[西]河内洋,,,3-4-6-7,山岡良一,514(+8),ウォータープリアム,13,川又賢治,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
11,2:01.9,35.7,13,,274.9,,牝5,55,5,5,12,[西]森田直行,,,11-12-13-13,飯田正剛,488(-8),カリテスグレース,7,松山弘平,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
12,2:02.1,36.5,11,,137.3,,牡3,54,6,1.1/4,13,[西]南井克巳,,,7-8-8-7,永井啓弍,502(-4),スズカホワイト,9,岡田祥嗣,**,13,中京,3歳以上500万下,8R,芝左2000m ,晴 ,良 ,2017-07-15
0,1:50.5,34.9,3,,5.1,,牡2,54,3,,1,[西]河内洋,,700.0,4-4,山本信行,478(0),ワンダープチュック,3,武豊,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
1,1:50.6,35.3,4,,5.4,,牡2,54,2,1/2,2,[西]音無秀孝,,280.0,1-1,社台レースホース,456(0),スティッフェリオ,2,松若風馬,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
2,1:51.1,35.7,2,,4.0,,牡2,54,4,3,3,[西]長浜博之,,180.0,2-2,渡辺公美子,496(0),アグネスウイン,4,松山弘平,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
3,1:52.0,36.3,5,,7.8,,牡2,54,1,5,4,[西]松田国英,,110.0,6-5,日隈良江,482(0),ハギノシャーウッド,1,福永祐一,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
4,1:52.2,36.7,1,,2.3,,牡2,54,7,1.1/2,5,[西]友道康夫,,70.0,3-3,大塚亮一,466(0),ザウォルドルフ,7,ルメール,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
5,1:52.2,36.5,6,,16.8,,牡2,54,5,クビ,6,[西]石坂正,,,4-5,Ｇ１レーシング,454(0),アドラメレク,5,浜中俊,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
6,1:52.4,36.1,8,,104.8,,牡2,54,6,1.1/4,7,[西]千田輝彦,,,7-7,八木良司,454(0),タガノヤグラ,6,藤懸貴志,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
7,1:54.1,37.8,7,,70.6,,牡2,54,8,大,8,[西]中村均,,,8-7,今西和雄,500(0),チェイサー,8,幸英明,**,12,阪神,2歳新馬,5R,芝右外1800m ,雨 ,重 ,2016-09-18
0,1:31.3,33.3,9,,15.7,,牡4,58,5,,1,[西]矢作芳人,,"11,348.6",11-12,キャピタル・システム,482(-6),モズアスコット,10,ルメール,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
1,1:31.3,34.0,5,,10.7,,牝4,56,2,クビ,2,[東]菊沢隆徳,,"4,499.6",3-3,サンデーレーシング,502(-2),アエロリット,4,戸崎圭太,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
2,1:31.4,33.9,1,,2.8,,牡4,58,1,3/4,3,[西]庄野靖志,,"2,849.8",5-5,ＮＩＣＫＳ,506(-10),スワーヴリチャード,1,Ｍ．デム,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
3,1:31.5,33.3,7,,14.5,,牡4,58,1,1/2,4,[東]藤沢和雄,,"1,700.0",14-14,サトミホースカンパニー,514(+10),サトノアレス,2,蛯名正義,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
4,1:31.5,33.7,3,,6.4,,牡4,58,8,クビ,5,[西]浅見秀一,,"1,100.0",7-7,Ｇ１レーシング,486(+4),サングレーザー,15,福永祐一,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
5,1:31.7,34.0,2,,6.1,,牡4,58,3,1.1/4,6,[西]池江泰寿,,,7-7,Ｇ１レーシング,490(+8),ペルシアンナイト,5,川田将雅,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
6,1:32.0,35.2,14,,104.9,,牡6,58,8,2,7,[西]西園正都,,,1-1,ウイン,492(0),ウインガニオン,16,津村明秀,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
7,1:32.1,34.2,6,,11.0,,牝4,56,7,クビ,8,[西]矢作芳人,,,11-10,キャロットファーム,448(-2),リスグラシュー,14,武豊,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
8,1:32.1,33.7,8,,14.6,,牡7,58,5,クビ,9,[東]尾関知人,,,15-15,東京ホースレーシング,480(+8),レッドファルクス,9,田辺裕信,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
9,1:32.3,34.8,11,,54.5,,セ6,58,4,1.1/4,10,[外]サイズ,,,5-5,Ｌ．ヨン,550(-4),ウエスタンエクスプレス,7,クリッパ,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
10,1:32.4,35.0,10,,45.5,,牡6,58,4,1/2,11,[東]堀宣行,,,3-3,吉田和美,540(-6),キャンベルジュニア,8,石橋脩,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
11,1:32.5,35.3,15,,146.7,,牝4,56,3,3/4,12,[西]本田優,,,2-2,吉岡實,480(+2),レーヌミノル,6,和田竜二,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
12,1:32.7,34.7,12,,66.3,,牡5,58,6,1,13,[西]藤岡健一,,,11-12,シルクレーシング,524(+2),ヒーズインラブ,12,藤岡康太,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
13,1:32.7,34.9,16,,237.9,,牡6,58,2,アタマ,14,[西]吉村圭司,,,9-7,グリーンフィールズ,500(-6),ダッシングブレイズ,3,北村宏司,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
14,1:32.7,34.8,4,,9.0,,牡6,58,6,アタマ,15,[西]矢作芳人,,,9-10,サンデーレーシング,514(0),リアルスティール,11,岩田康誠,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
15,1:32.8,34.1,13,,78.9,,牡6,58,7,アタマ,16,[西]西浦勝一,,,16-16,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,496(-6),ブラックムーン,13,秋山真一,**,15,東京,第68回安田記念(G1),11R,芝左1600m ,晴 ,良 ,2018-06-03
0,1:34.5,35.4,8,,40.8,,牝3,55,5,,1,[西]本田優,,"11,855.8",4-4,吉岡實,466(-2),レーヌミノル,10,池添謙一,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
1,1:34.6,35.3,3,,14.5,,牝3,55,3,1/2,2,[西]矢作芳人,,"4,458.8",9-8,キャロットファーム,436(-2),リスグラシュー,6,武豊,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
2,1:34.6,35.4,1,,1.4,,牝3,55,7,クビ,3,[東]藤沢和雄,,"2,679.4",6-5,社台レースホース,474(-2),ソウルスターリング,14,ルメール,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
3,1:34.7,35.0,7,,24.3,,牝3,55,4,クビ,4,[西]松下武士,,"1,400.0",15-14,吉田照哉,480(+2),カラクレナイ,8,田辺裕信,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
4,1:34.7,35.0,6,,23.6,,牝3,55,6,クビ,5,[東]菊沢隆徳,,920.0,14-14,サンデーレーシング,480(-6),アエロリット,12,横山典弘,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
5,1:34.9,34.9,14,,207.2,,牝3,55,8,1.1/4,6,[西]橋田満,,,15-16,森田藤治,474(+2),ディアドラ,17,岩田康誠,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
6,1:35.1,36.8,10,,87.7,,牝3,55,8,1.1/4,7,[西]浜田多実,,,1-1,川島吉男,458(-2),カワキタエンカ,18,和田竜二,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
7,1:35.2,35.6,9,,47.2,,牝3,55,1,1/2,8,[東]奥村武,,,11-12,岡田牧雄,482(0),ライジングリーズン,2,丸田恭介,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
8,1:35.3,36.1,12,,96.6,,牝3,55,2,3/4,9,[西]安田隆行,,,6-5,サンデーレーシング,484(-4),ジューヌエコール,4,北村友一,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
9,1:35.3,36.5,13,,115.0,,牝3,55,7,ハナ,10,[西]中内田充,,,2-2,社台レースホース,456(-6),ヴゼットジョリー,13,福永祐一,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
10,1:35.4,35.9,5,,16.7,,牝3,55,1,1/2,11,[西]池江泰寿,,,6-9,サンデーレーシング,450(-4),ミスエルテ,1,川田将雅,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
11,1:35.5,35.6,2,,5.1,,牝3,55,7,1/2,12,[西]友道康夫,,,17-16,近藤利一,474(-6),アドマイヤミヤビ,15,Ｍ．デム,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
12,1:35.7,36.1,11,,94.8,,牝3,55,5,1.1/4,13,[西]荒川義之,,,13-12,グリーンファーム,434(+2),ゴールドケープ,9,丸山元気,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
13,1:35.8,36.3,16,,293.7,,牝3,55,6,クビ,14,[西]西浦勝一,,,11-9,ディアレストクラブ,462(-8),アロンザモナ,11,幸英明,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
14,1:35.8,36.9,15,,290.3,,牝3,55,4,クビ,15,[西]斉藤崇史,,,3-3,吉冨学,458(+2),ショーウェイ,7,松若風馬,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
15,1:36.8,37.4,4,,15.8,,牝3,55,8,6,16,[西]昆貢,,,9-9,寺田千代乃,502(+6),ミスパンテール,16,四位洋文,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
16,1:37.2,38.0,17,,347.9,,牝3,55,3,2.1/2,17,[西]西浦勝一,,,4-5,雅苑興業,448(-10),ベルカプリ,5,藤岡佑介,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
17,,,,,---,,牝3,55,2,,取,[西]角居勝彦,,,,吉田勝己,計不,サロニカ,3,浜中俊,**,15,阪神,第77回桜花賞(G1),11R,芝右外1600m ,曇 ,稍重 ,2017-04-09
0,1:34.6,34.5,2,,4.6,,牝3,54,7,,1,[東]木村哲也,,"3,557.4",9-8-5,シルクレーシング,482(+8),プリモシーン,14,戸崎圭太,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
1,1:34.8,34.6,6,,11.5,,牝3,54,5,1.1/4,2,[西]高橋亮,,"1,416.4",12-8-5,ノースヒルズ,436(-8),スカーレットカラー,10,太宰啓介,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
2,1:34.8,34.5,7,,13.5,,牝3,54,7,クビ,3,[東]鹿戸雄一,,888.2,15-11-10,東京ホースレーシング,450(-6),レッドベルローズ,13,蛯名正義,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
3,1:35.0,34.4,14,,114.7,,牝3,54,2,1.1/4,4,[東]本間忍,,530.0,12-14-14,高瀬真尚,454(+2),ハトホル,3,吉田隼人,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
4,1:35.0,34.1,3,,6.5,,牝3,54,4,クビ,5,[西]安田隆行,,350.0,16-16-15,社台レースホース,464(-2),トロワゼトワル,7,福永祐一,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
5,1:35.1,35.2,1,,3.6,,牝3,54,8,クビ,6,[東]小西一男,,,5-5-5,吉田勝己,468(0),テトラドラクマ,16,石橋脩,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
6,1:35.2,34.9,4,,7.8,,牝3,54,3,1/2,7,[東]古賀慎明,,,9-11-10,キャロットファーム,430(-6),ライレローズ,5,北村宏司,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
7,1:35.5,35.8,8,,18.8,,牝3,54,4,2,8,[東]田村康仁,,,2-2-2,社台レースホース,494(-4),グランドピルエット,8,勝浦正樹,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
8,1:35.5,35.3,10,,25.5,,牝3,54,3,クビ,9,[東]小桧山悟,,,5-8-13,萩本企画,420(-2),ジョブックコメン,6,藤田菜七,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
9,1:35.6,35.9,12,,49.6,,牝3,54,5,1/2,10,[東]久保田貴,,,4-2-2,ロードホースクラブ,452(-2),レネット,9,三浦皇成,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
10,1:35.7,35.7,9,,24.2,,牝3,54,1,1/2,11,[東]木村哲也,,,5-5-5,保坂和孝,456(+8),デュッセルドルフ,2,田辺裕信,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
11,1:35.9,35.6,5,,8.4,,牝3,54,1,1.1/4,12,[西]田所秀孝,,,5-11-10,瀬谷隆雄,468(+2),サヤカチャン,1,松岡正海,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
12,1:36.0,35.2,11,,45.2,,牝3,54,6,3/4,13,[西]矢作芳人,,,12-15-16,シルクレーシング,412(-16),ジーナスイート,12,内田博幸,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
13,1:36.1,36.5,15,,115.6,,牝3,54,6,クビ,14,[東]新開幸一,,,1-1-1,中村祐子,476(+8),シスル,11,大野拓弥,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
14,1:36.2,36.2,13,,106.2,,牝3,54,2,1/2,15,[西]池添学,,,2-5-9,キャロットファーム,422(-8),アントルシャ,4,津村明秀,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
15,1:36.4,36.8,16,,255.6,,牝3,54,8,1.1/4,16,[東]中舘英二,,,9-2-4,サラブレッドクラブ・ラフィアン,496(-6),フィルハーモニー,15,柴田大知,**,15,中山,第34回フェアリーステークス(G3),11R,芝右外1600m ,晴 ,良 ,2018-01-07
0,1:46.02,,2,,4.5,, ,57,,,1,,,,,,計不,ベンバトル,5,マーフィ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
1,,,4,,8.0,, ,55,,,2,,,,,,計不,ヴィブロス,7,Ｃ．デム,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
2,,,1,,3.4,, ,57,,,3,,,,,,計不,リアルスティール,8,バルザロ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
3,,,7,,16.6,, ,55,,同着,3,,,,,,計不,ディアドラ,13,ルメール,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
4,,,13,,79.3,, ,55,,,5,,,,,,計不,プロミシングラン,3,コスグレ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
5,,,14,,143.9,, ,57,,,6,,,,,,計不,レシュラー,14,スミヨン,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
6,,,9,,19.1,, ,55,,,7,,,,,,計不,クロコスミア,11,岩田康誠,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
7,,,3,,5.7,, ,57,,,8,,,,,,計不,ネオリアリズム,2,モレイラ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
8,,,15,,201.1,, ,57,,,9,,,,,,計不,ウォーディクリー,10,ヘファー,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
9,,,6,,11.5,, ,57,,,10,,,,,,計不,ブレアハウス,15,ビュイッ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
10,,,5,,10.9,, ,57,,,11,,,,,,計不,ランカスターボンバー,12,ムーア,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
11,,,11,,46.7,, ,57,,,12,,,,,,計不,ジャヌービ,6,クローリ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
12,,,10,,26.1,, ,57,,,13,,,,,,計不,トレスフリュオース,4,シュミノ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
13,,,8,,17.7,, ,57,,,14,,,,,,計不,モナークスグレン,9,デットー,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
14,,,12,,72.1,, ,57,,,15,,,,,,計不,チャンピオンシップ,1,デソウサ,,0,7R,ドバイターフ(G1),結果/払戻,芝左1800m ,晴 ,良  ダート,2018-03-31
0,1:59.9,35.4,1,,2.1,,牡4,57,4,,1,[西]音無秀孝,,"1,521.0",2-2-2-2,社台レースホース,452(-6),スティッフェリオ,4,武豊,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
1,1:59.9,35.1,2,,4.2,,セ5,57,1,クビ,2,[東]鹿戸雄一,,606.0,4-3-4-5,東京ホースレーシング,460(-6),レッドイグニス,1,ルメール,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
2,2:00.1,35.1,4,,5.3,,牡4,57,7,1.1/4,3,[西]松田国英,,383.0,5-5-7-7,吉田勝己,484(-2),シンギュラリティ,7,福永祐一,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
3,2:00.2,35.4,3,,4.7,,牡4,57,8,1/2,4,[西]西浦勝一,,230.0,2-3-4-4,Ｈ．Ｈ．シェイク・モハメド,480(+2),テリトーリアル,8,池添謙一,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
4,2:00.4,35.4,8,,50.2,,牡5,57,3,1.1/2,5,[西]加用正,,150.0,7-6-8-7,坂東牧場,518(-4),ビービーブレスユー,3,岩田康誠,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
5,2:00.7,35.4,7,,41.1,,牝4,55,5,1.3/4,6,[西]鮫島一歩,,,8-8-9-9,前田幸治,456(-2),マナローラ,5,松山弘平,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
6,2:01.4,36.6,9,,59.5,,牡5,57,8,4,7,[西]谷潔,,,5-6-4-5,前田幸治,472(0),ワンスインアライフ,9,石橋脩,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
7,2:01.5,37.1,6,,36.9,,牡7,57,6,1/2,8,[西]河内洋,,,1-1-1-1,上山牧,506(0),アグネスミニッツ,6,国分恭介,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
8,2:01.6,37.1,5,,15.1,,牡7,57,2,1/2,9,[西]中内田充,,,9-9-2-3,山本英俊,468(+8),モンドシャルナ,2,川田将雅,**,14,阪神,千里山特別 ,9R,芝右2000m ,曇 ,良 ,2018-03-03
0,3:15.0,34.5,1,,2.8,,牡4,58,7,,1,[東]手塚貴久,,"15,281.4",7-5-4-1,サンデーレーシング,480(0),フィエールマン,10,ルメール,**,15,京都,第159回天皇賞(春)(G1),11R,芝右外3200m ,晴 ,良 ,2019-04-28
1,3:15.0,34.4,6,,11.3,,牡4,58,5,クビ,2,[東]尾関知人,,"6,080.4",9-8-7-2,シルクレーシング,456(+2),グローリーヴェイズ,7,戸崎圭太,**,15,京都,第159回天皇賞(春)(G1),11R,芝右外3200m ,晴 ,良 ,2019-04-28
